a,b,x,b449,b450,b451,b452,b453,b454,b455,b456,b457,b458,b459,b460,b461,b462,b463,b464,b465,b466,b467,b468,b469,b470,b471,b472,b473,b474,b475,b476,b477,b478,b479,b480,b481,b482,b483,b484,b485,b486,b487,b488,b489,b490,label
83.12310791,-86.70639801,-15.96133423,1,1,0,3,1,0,1,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.77888489,89.44639587,-168.3843536,2,3,2,3,1,1,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,1,3,
0.388565063,-51.79754639,-1.022918701,1,2,1,1,1,1,1,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20.30718231,10.2313385,-180.8004608,1,1,1,3,1,1,1,1,1,2,0,0,0,0,1,2,0,0,1,0,0,1,2,4,1,0,0,0,0,0,3,1,1,1,2,2,1,2,0,3,0,3,
13.55965424,85.9387207,-176.9784851,1,3,1,1,0,1,1,2,1,3,0,0,1,0,2,0,1,1,0,1,0,1,0,3,0,0,0,0,0,0,1,2,0,0,2,1,1,0,2,1,1,0,
34.76303101,93.09020996,-181.0592499,1,2,1,2,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,
24.78636169,-62.28266907,64.35952759,1,3,1,3,1,2,1,2,1,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
94.90699768,-88.21570587,91.46591187,1,4,1,2,1,3,1,2,3,2,4,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63.90307617,70.86920166,-19.0793457,1,3,1,1,1,3,2,2,1,3,0,0,2,1,2,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
86.01930237,72.14550781,-158.2454224,1,2,2,2,1,4,1,3,1,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,
54.53712463,-70.90016937,-51.31549072,1,2,1,2,2,1,1,3,2,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20.05392456,28.88879395,179.9186401,1,1,1,3,1,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,1,2,4,0,0,1,0,0,0,2,1,0,1,2,1,0,1,0,0,1,0,
69.60380554,-84.9870224,144.2926025,1,2,2,2,2,2,1,4,2,2,1,1,3,1,1,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1.748184204,3.582977295,-113.2554779,2,1,0,4,1,3,0,1,0,0,0,1,0,0,2,0,0,0,0,2,2,0,2,4,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,1,
4.579925537,-85.79070282,159.3425903,1,2,0,2,0,0,2,3,1,2,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,2,0,0,
89.44604492,-66.44410706,105.4423218,0,2,1,2,0,1,0,1,2,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
55.40657043,57.11196899,191.3414001,1,3,1,2,1,2,1,2,1,3,1,0,1,1,2,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,
92.98753357,56.30201721,-120.5857849,1,2,1,3,1,1,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-51.77524185,-81.77323914,181.6567993,1,2,1,1,1,2,1,2,2,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,2,
-85.90242767,85.23434448,129.1053772,1,3,2,3,1,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,2,3,3,1,3,2,1,2,2,3,
94.97451782,-89.53462982,71.20480347,1,3,1,1,1,2,2,3,3,1,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-52.81114578,-15.55992126,17.55859375,1,2,2,5,1,1,0,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15.18965912,-65.88574219,-2.284622192,0,1,1,2,1,3,1,1,1,2,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,2,
43.64123535,35.54812622,155.1774597,0,2,1,1,1,5,2,2,1,2,2,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
-29.16375732,95.76591492,114.2657776,2,3,2,3,2,2,0,2,0,1,0,0,0,0,5,2,1,1,0,1,0,1,1,2,0,1,0,0,0,0,1,1,1,1,3,1,2,0,1,1,1,0,
72.98472595,-45.91972733,143.5601196,1,2,0,0,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
57.81613159,46.53862,-118.3783188,1,2,2,4,2,1,0,3,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
48.51722717,75.60688782,67.22384644,1,2,1,2,1,1,1,3,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,
-80.69969177,-0.776252747,-79.02386475,1,1,1,1,3,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,
-39.26511383,-41.08898544,-122.2149277,1,2,1,2,2,3,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
70.35612488,8.845581055,-168.8171692,0,1,1,2,2,1,0,7,1,2,0,1,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
-45.83269501,-61.54172897,-27.62329102,0,1,1,2,1,0,0,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,
4.747024536,-72.76595306,64.87680054,1,2,1,3,1,4,0,3,1,1,3,2,3,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-5.327255249,-54.33956909,103.9995728,1,2,1,2,1,2,1,2,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-7.500389099,-97.85717773,1.096603394,1,2,2,3,1,1,1,1,2,1,2,1,1,0,1,0,1,1,0,2,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,2,
81.70980835,26.74581909,-179.4944458,1,3,1,2,0,0,0,2,2,3,0,0,0,0,1,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,4,0,1,2,2,0,0,1,1,1,1,
14.83237457,-67.63214111,-39.59329224,1,1,1,4,1,0,0,2,1,0,0,0,0,0,2,1,1,1,0,2,0,3,3,7,0,0,0,0,0,0,3,3,0,1,2,2,0,0,1,0,1,0,
-17.04350281,-24.99997711,54.82911682,1,2,1,2,2,3,1,4,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80.43270874,56.0128479,-156.2537231,1,2,1,2,1,1,1,1,1,2,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,
63.5740509,-87.10839844,-83.48806,1,2,2,3,1,1,0,3,2,1,2,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76.55953979,-63.4883461,-126.5260696,1,3,2,3,0,1,0,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
84.57644653,-21.37978363,89.81384277,2,3,2,3,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,0,0,2,
67.01602173,47.42648315,175.0924683,0,3,2,1,1,2,1,2,2,2,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,
47.63049316,-70.43584442,-34.89317322,1,3,3,2,0,1,0,0,2,4,2,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,
-22.0595932,28.13960266,-109.991333,0,2,2,2,1,1,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,2,1,
7.472801208,19.5826416,118.5305176,1,2,1,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
52.50115967,-16.59075165,-126.6275787,1,2,1,2,2,3,1,3,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72.32418823,94.9737854,-129.9742737,1,2,1,6,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,2,0,
-11.24162292,-78.29252625,138.3444214,1,4,1,1,0,2,0,0,2,2,5,0,1,0,0,0,0,1,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,
10.55010223,-5.672966003,4.678131104,1,1,1,2,1,3,1,2,2,1,0,0,0,0,0,3,0,0,0,0,1,0,2,3,0,0,1,0,0,0,3,1,1,3,0,2,0,2,0,0,1,3,
93.89878845,-63.0891571,198.1739502,1,3,3,4,0,2,1,1,3,1,4,0,2,1,0,0,1,1,0,3,1,3,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,
82.32267761,27.10461426,-66.61688232,2,3,1,4,1,2,1,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,1,
55.96730042,75.62661743,51.62301636,0,2,2,1,1,2,1,3,1,4,2,1,2,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
45.72680664,13.59274292,-135.8011627,1,1,1,3,2,2,0,4,2,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
10.45298767,-42.24157333,-116.9531479,1,1,3,3,1,0,0,2,2,1,2,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
28.068573,-43.30776978,151.181427,1,2,0,3,1,2,1,2,1,1,0,1,0,0,0,3,0,0,0,1,1,0,1,4,0,0,0,0,0,0,2,1,1,4,2,2,1,2,1,2,0,4,
61.8651123,22.18240356,-155.2108459,1,1,1,2,1,1,2,4,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,
-73.21626282,45.37600708,22.94979858,1,2,1,3,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,1,0,3,
50.54066467,-42.12999344,190.1745911,1,2,2,4,1,2,0,2,2,1,3,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-11.50382996,-42.74424362,155.0009155,2,2,1,3,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,0,
-1.118553162,94.33169556,174.3587952,1,2,2,3,2,3,0,4,1,2,0,1,0,1,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
-33.29895782,-73.38986206,134.9631348,0,1,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,3,0,1,
-60.86139679,-93.16872406,-30.21920776,0,1,0,1,0,3,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,4,
-31.0696106,29.93095398,8.241607666,2,3,3,6,1,1,0,1,2,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,2,1,2,0,2,1,1,2,3,1,
93.32876587,-77.91426849,63.55252075,1,5,1,1,1,4,2,1,2,2,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
80.60731506,-19.94403076,82.12310791,0,1,1,1,1,1,1,4,2,3,2,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,
-25.47177124,91.920578,135.1018066,2,2,2,4,3,3,0,3,0,2,0,0,0,0,6,1,1,1,1,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,
-77.38615417,-37.17167282,105.1816406,2,2,1,2,1,2,0,1,1,2,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,2,1,0,1,0,1,0,1,0,1,0,3,
40.67475891,22.60348511,-141.1607666,1,2,0,1,1,1,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,2,0,2,
7.893287659,-49.01363754,118.9998779,1,1,1,2,2,1,1,4,1,2,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
-80.68798828,-3.624710083,149.7028198,1,1,0,1,1,3,2,1,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,3,0,4,2,2,7,1,4,
83.43318176,-7.821174622,-166.244873,1,2,1,2,0,2,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,
-83.39393616,96.31469727,135.2666931,1,2,2,5,1,0,0,1,1,1,1,1,0,0,1,0,2,1,0,2,2,0,1,2,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,
69.46932983,-0.556175232,-19.78718567,1,2,1,3,1,2,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
3.894958496,30.19172668,-96.02825928,1,3,1,2,1,3,1,1,0,2,1,0,0,0,3,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,2,2,0,0,1,1,2,0,1,0,0,0,
-14.13895416,50.5914917,-128.6329956,2,3,1,1,1,3,1,1,2,3,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,
67.53735352,23.28158569,74.72024536,1,2,2,3,2,3,1,4,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.56382751,81.9074707,187.2641907,1,2,0,1,0,0,2,2,1,2,0,0,0,1,1,1,0,1,1,1,0,2,2,3,0,0,0,0,0,0,1,3,0,1,4,1,1,0,3,2,0,0,
14.31684875,86.30096436,186.3812561,1,3,3,5,2,2,1,5,2,1,0,0,0,0,2,3,1,0,0,1,0,0,1,3,0,1,1,1,0,0,1,1,1,2,3,4,3,0,0,2,1,0,
90.11161804,-62.57489777,67.02581787,0,2,1,2,0,1,0,3,1,2,2,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
-42.85025787,36.20252991,21.67417908,1,0,1,2,2,0,0,3,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,
62.79438782,-72.11753082,-51.18057251,1,3,3,2,1,4,1,2,3,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.71949768,-21.38082123,125.783905,2,4,2,4,0,3,1,1,2,3,2,0,2,2,3,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,
14.92549133,-20.63831329,59.39874268,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,1,1,3,
90.84440613,17.81202698,43.25532532,0,1,0,2,1,2,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
-27.7997818,0.435577393,156.5108948,1,1,1,2,2,3,1,2,1,2,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-15.30545807,37.40068054,-78.47904205,1,2,2,2,1,3,0,2,3,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-46.85293579,23.16758728,91.04672241,1,2,0,1,0,0,1,1,0,4,2,0,0,2,2,0,1,1,3,3,0,3,1,2,1,0,0,0,0,0,0,1,0,0,5,0,0,0,5,2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.01507568,-25.96537781,-0.808792114,0,2,2,2,4,4,2,5,2,1,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
72.9800415,-19.51709747,63.47149658,2,3,2,2,1,3,1,3,2,2,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-85.470047,9.211753845,113.5159912,2,3,1,2,0,0,1,2,2,1,1,0,2,0,0,0,1,4,0,3,0,4,1,4,0,0,0,0,0,0,2,1,1,2,3,0,2,1,3,2,2,1,
83.12310791,-86.70639801,-15.96133423,1,1,0,3,1,0,1,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54.53712463,-70.90016937,-51.31549072,1,2,1,2,2,1,1,3,2,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89.44604492,-66.44410706,105.4423218,0,2,1,2,0,1,0,1,2,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,
48.51722717,75.60688782,67.22384644,1,2,1,2,1,1,1,3,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,
47.63049316,-70.43584442,-34.89317322,1,3,3,2,0,1,0,0,2,4,2,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,
-31.0696106,29.93095398,8.241607666,2,3,3,6,1,1,0,1,2,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,2,1,2,0,2,1,1,2,3,1,
93.32876587,-77.91426849,63.55252075,1,5,1,1,1,4,2,1,2,2,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
-80.68798828,-3.624710083,149.7028198,1,1,0,1,1,3,2,1,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,3,0,4,2,2,7,1,4,
62.79438782,-72.11753082,-51.18057251,1,3,3,2,1,4,1,2,3,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-46.85293579,23.16758728,91.04672241,1,2,0,1,0,0,1,1,0,4,2,0,0,2,2,0,1,1,3,3,0,3,1,2,1,0,0,0,0,0,0,1,0,0,5,0,0,0,5,2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.01507568,-25.96537781,-0.808792114,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
72.9800415,-19.51709747,63.47149658,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
-85.470047,9.211753845,113.5159912,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,0.5,0.5,0.5,0.5,2.5,1.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,1.5,1.5,2.5,2.5,1.5,2.5,1.5,1.5,2.5,1.5,2.5,
83.12310791,-86.70639801,-15.96133423,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
54.53712463,-70.90016937,-51.31549072,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
89.44604492,-66.44410706,105.4423218,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
48.51722717,75.60688782,67.22384644,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,0.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,
47.63049316,-70.43584442,-34.89317322,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,2.5,1.5,2.5,1.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
-31.0696106,29.93095398,8.241607666,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,2.5,0.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,1.5,1.5,2.5,2.5,1.5,2.5,1.5,1.5,2.5,1.5,2.5,
