,,,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448,,,,,,,,,b457
73.40524292,22.50317383,-22.37005615,2,1,1,0,1,1,0,0,1,2,0,0,3,1,0,1,1,1,1,0,3,2,0,0,1,1,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,3,1,1,2,1,1,1,0,1,2,0,0,0,,,,,,,,,
98.52548218,-50.27132034,85.00219727,3,1,2,1,4,2,1,0,1,3,0,0,3,1,0,0,1,3,0,0,0,2,1,0,1,3,0,0,0,1,0,0,0,0,0,1,4,1,1,2,1,0,0,1,1,2,0,0,0,0,2,2,0,0,1,0,2,5,,,,,,,,,
84.58172607,-25.35048676,-181.177124,3,2,2,1,1,2,0,0,0,3,0,0,2,0,0,0,3,1,0,3,1,2,0,0,1,3,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,3,0,1,0,0,1,1,1,1,0,1,1,2,,,,,,,,,
32.21089172,-95.32628632,-189.3802948,1,0,2,1,0,2,0,0,2,1,0,0,2,1,0,1,1,1,0,0,1,2,0,0,1,2,0,0,2,2,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,2,0,,,,,,,,,
49.34628296,-59.27121735,-199.1820679,2,1,3,1,0,2,0,0,1,2,0,0,2,2,1,1,2,2,1,0,1,2,0,0,1,3,0,0,2,2,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,,,,,,,,,
-84.77648163,-64.07192993,177.4888916,3,2,2,1,1,2,0,1,0,3,0,0,2,0,1,1,2,0,4,2,2,1,0,0,2,3,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,2,1,3,2,2,2,1,4,2,3,3,0,0,,,,,,,,,
63.46261597,8.923660278,-89.03899384,3,1,1,0,3,2,1,0,1,2,0,0,3,2,0,0,1,2,0,0,1,3,1,0,1,2,0,0,1,0,0,0,0,0,2,2,4,1,4,3,3,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,3,2,,,,,,,,,
-71.72409821,46.48301697,34.30638123,2,1,2,1,3,3,1,0,1,2,0,0,3,2,0,0,2,1,1,3,0,2,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,3,6,3,0,5,1,4,1,0,0,0,1,0,0,0,0,,,,,,,,,
-93.68599701,-87.12516785,-35.2192688,2,1,2,1,1,2,0,1,1,2,0,0,2,1,0,0,0,2,0,0,2,2,0,0,0,1,0,0,3,1,0,0,0,0,1,3,1,0,2,1,2,1,0,0,1,2,0,0,0,0,1,3,0,0,0,0,2,1,,,,,,,,,
-83.59642792,25.38346863,185.9434814,2,1,2,1,2,1,0,0,1,3,0,1,4,1,0,0,1,1,0,1,2,2,0,0,1,3,0,0,3,1,0,0,0,1,0,1,1,2,0,1,1,0,0,0,2,2,0,0,0,0,1,3,0,1,1,1,1,1,,,,,,,,,
20.77841949,-65.65411377,-41.66448975,2,2,2,2,2,2,0,0,1,3,0,0,3,1,0,0,3,2,0,3,1,2,0,0,1,3,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,,,,,,
-97.93045807,8.927703857,-79.77046967,2,1,3,2,3,3,1,0,2,3,0,1,3,2,0,0,1,4,0,0,0,3,0,0,2,4,0,0,0,1,0,0,0,1,1,4,5,1,5,4,4,1,0,0,2,1,0,0,0,0,1,3,0,0,0,0,2,2,,,,,,,,,
-89.48970032,-84.7662735,48.00109863,3,3,2,1,2,2,0,0,0,3,0,0,2,1,0,0,2,2,0,2,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,2,1,2,0,0,1,1,2,,,,,,,,,
53.49926758,-88.22966766,104.0559082,2,2,1,1,2,2,0,0,1,2,0,0,2,1,0,0,1,2,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,2,1,2,1,1,0,1,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,2,2,,,,,,,,,
-97.21257782,-14.78884888,-117.0561676,2,1,2,1,2,2,0,0,1,3,0,0,3,1,0,0,2,2,0,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,1,0,0,0,0,2,1,1,0,0,0,1,1,,,,,,,,,
38.90704346,81.04092407,72.99993896,3,1,1,0,2,2,0,0,1,3,0,1,3,1,0,1,1,1,0,0,1,1,0,0,1,2,0,0,2,1,0,1,0,0,1,1,2,2,0,0,0,2,1,1,2,2,0,1,1,1,2,3,1,1,0,0,2,0,,,,,,,,,
-31.65372467,-99.11634064,-111.9006958,3,2,2,1,1,2,0,0,1,4,0,0,2,1,1,0,3,4,0,0,0,2,0,0,1,3,0,0,2,0,0,0,0,0,0,2,4,1,1,0,2,0,1,0,1,1,1,0,0,0,2,1,0,0,0,0,1,2,,,,,,,,,
-66.80531311,-98.76132965,132.7260437,2,1,3,1,2,3,0,0,2,2,0,0,2,2,1,1,3,1,2,3,1,4,0,0,2,3,0,1,2,2,0,0,0,1,0,0,1,3,0,0,0,0,1,2,2,1,2,0,1,1,2,1,1,3,0,0,0,0,,,,,,,,,
99.55622864,28.33514404,176.1792297,2,1,2,1,1,2,0,0,0,2,0,0,2,1,0,0,1,1,1,1,1,1,0,0,1,3,0,0,2,1,0,0,0,0,0,1,2,2,0,0,0,1,0,0,2,2,0,1,0,0,2,3,1,1,0,0,1,0,,,,,,,,,
2.282775879,-95.76165009,-15.94038391,1,1,2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,2,0,4,1,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,0,2,3,3,0,2,0,2,0,0,0,0,1,0,0,0,0,,,,,,,,,
-13.85648346,-99.72880554,-26.75289917,2,1,2,2,0,1,0,0,1,2,0,0,1,3,1,1,2,3,0,0,1,2,0,0,1,2,0,1,1,2,1,0,0,0,0,0,1,2,2,0,1,0,1,0,2,1,2,1,1,2,0,1,0,0,0,0,1,1,,,,,,,,,
-61.56821823,58.66168213,160.9484558,2,1,2,2,1,3,0,0,1,2,0,0,1,1,1,1,2,1,3,1,1,1,0,0,1,4,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,1,2,3,2,1,3,1,1,0,1,1,0,2,0,0,0,,,,,,,,,
91.09020996,93.46478271,198.0805359,2,1,1,1,1,1,0,1,0,2,0,0,3,1,1,1,1,1,2,2,1,2,0,0,2,4,1,0,3,0,0,0,0,1,0,0,3,2,0,0,1,0,5,4,5,0,3,2,5,3,2,3,1,4,0,0,1,0,,,,,,,,,
6.76600647,-97.96697235,-167.8784943,2,1,2,1,0,2,0,0,1,2,0,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,
95.82028198,-30.84892273,98.5647583,2,1,2,1,2,2,0,0,1,2,0,0,2,1,0,1,2,1,1,1,1,2,0,0,1,3,0,0,1,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,0,2,2,1,4,0,0,0,0,,,,,,,,,
-53.39262009,-71.26567078,47.6975708,2,2,3,1,2,2,0,0,0,2,0,0,2,1,0,0,1,2,0,1,1,3,0,0,0,3,0,0,1,1,0,0,0,0,1,4,3,1,3,1,2,1,0,0,1,1,0,0,0,0,3,2,1,1,0,0,1,1,,,,,,,,,
58.04379272,61.34223938,-110.1245499,2,1,2,1,2,2,0,0,1,2,0,0,2,1,0,0,1,1,0,1,1,2,0,0,1,2,0,0,1,1,0,0,0,0,1,2,2,1,1,1,1,0,0,1,2,1,0,0,0,0,2,1,1,0,0,0,0,0,,,,,,,,,
45.72737122,42.40281677,184.6448059,2,1,2,0,1,1,0,0,1,2,0,0,2,1,0,1,1,2,0,0,1,2,0,0,1,2,0,0,3,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,1,1,2,1,0,1,1,2,2,,,,,,,,,
-25.81782532,90.07376099,-86.7635498,1,0,3,2,1,1,0,1,2,1,1,0,4,1,1,1,1,1,1,1,1,3,0,0,1,3,1,1,1,1,0,0,0,1,0,0,1,2,1,0,1,0,1,2,3,0,2,0,1,0,1,2,0,3,0,0,1,0,,,,,,,,,
-88.46886444,-64.79462433,-119.2674408,1,1,3,3,2,3,0,0,3,2,1,0,4,1,0,0,1,2,0,0,1,2,0,0,1,2,0,0,2,2,0,0,0,0,1,3,2,1,2,4,3,1,0,0,1,2,0,0,0,0,1,3,0,0,1,0,3,1,,,,,,,,,
-60.1998024,53.55860901,61.67852783,2,1,2,1,2,2,0,0,1,3,0,1,3,1,0,0,2,1,0,1,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,1,2,3,1,0,0,0,3,4,3,1,3,2,4,3,1,2,0,0,0,0,0,0,,,,,,,,,
-43.89476776,-98.26718903,-11.39517212,1,0,3,4,1,3,0,0,3,1,0,0,2,1,0,0,2,1,0,2,2,3,0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,2,2,1,2,0,1,4,3,0,4,0,3,2,2,1,0,1,0,0,0,2,,,,,,,,,
13.00589752,-86.08930969,113.3734741,3,1,1,0,1,2,0,0,0,2,0,0,2,1,0,1,2,1,2,1,1,3,1,0,2,1,0,0,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,3,1,1,2,1,4,0,1,0,0,1,0,1,,,,,,,,,
-32.71609497,-45.61979675,142.2755737,4,1,2,0,1,2,0,0,0,2,0,0,1,2,0,0,2,1,2,1,1,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,2,1,2,1,3,1,2,2,0,0,0,1,,,,,,,,,
87.35723877,50.27467346,-87.1802597,2,1,2,1,1,1,0,0,1,1,0,1,3,1,0,1,1,1,1,0,1,2,1,0,1,3,1,0,2,1,0,0,0,0,0,0,2,2,0,0,0,1,0,1,1,2,1,1,2,1,2,2,0,1,2,0,1,0,,,,,,,,,
-19.23439026,-76.89250183,18.42698669,3,1,2,1,1,3,1,0,1,2,0,0,2,1,2,3,2,2,3,0,1,3,1,0,1,3,0,0,3,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,3,0,1,0,0,3,2,3,0,4,1,1,2,,,,,,,,,
-25.46583557,89.10400391,-185.9813538,1,0,3,3,1,4,0,0,2,1,0,0,2,1,0,0,1,3,0,0,0,2,0,0,1,2,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,
-11.5212326,-58.10330963,156.0626526,3,3,2,1,1,2,0,0,0,3,0,0,1,0,0,0,4,1,1,5,1,2,0,0,1,3,0,0,6,0,0,0,0,0,0,1,2,3,0,0,0,0,4,1,3,2,5,3,4,1,1,0,3,0,2,3,0,0,,,,,,,,,
75.44062805,-70.24793243,194.5798035,2,1,2,2,3,3,1,0,1,2,0,0,2,1,0,0,1,2,0,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,1,2,1,1,2,4,2,0,0,1,1,2,0,0,0,0,3,2,1,0,1,0,1,1,,,,,,,,,
-5.157455444,61.59065247,160.45578,2,1,2,2,1,2,1,0,2,2,0,0,2,2,1,0,2,3,0,0,0,2,0,0,1,2,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,3,,,,,,,,,
-54.19509888,70.91131592,-136.9093018,2,0,2,1,1,3,0,0,2,1,0,0,2,1,0,0,0,1,0,0,2,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,,,,,,,,,
77.57217407,-99.1034317,-67.61694336,1,0,2,1,1,2,0,0,1,1,0,0,1,1,0,2,1,1,1,1,0,3,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,1,0,0,0,1,1,2,2,1,1,1,1,0,1,0,0,0,0,1,1,,,,,,,,,
-21.20702362,-54.13643646,160.2819824,3,2,1,1,2,2,0,0,0,2,0,0,2,1,0,0,1,1,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,1,1,3,1,1,1,1,0,0,1,1,2,0,0,1,0,2,1,0,0,0,0,0,1,,,,,,,,,
47.88215637,35.02763367,-184.3332825,2,1,2,1,0,2,0,0,1,2,0,0,1,1,0,1,1,1,2,1,2,2,0,0,1,1,1,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,2,0,0,0,0,,,,,,,,,
86.60139465,-34.88999939,26.36105347,2,1,2,1,1,2,0,0,0,2,0,0,2,1,0,0,2,2,0,1,0,2,0,0,1,3,0,0,2,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,3,0,0,0,0,2,2,1,1,0,0,1,1,,,,,,,,,
22.72275543,-89.59576416,-26.42234802,2,1,2,1,3,2,1,0,2,1,0,0,3,2,0,0,2,1,2,2,1,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,1,3,0,2,1,3,0,1,2,1,0,0,0,,,,,,,,,
10.94758606,-49.28776169,128.5507813,3,2,2,1,0,1,0,0,0,2,0,0,1,2,0,0,3,2,2,1,1,2,0,0,1,3,0,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,4,2,2,1,1,0,1,0,1,0,0,0,0,,,,,,,,,
86.36801147,59.03768921,186.4689941,3,1,1,0,1,1,0,0,0,2,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,2,0,0,0,0,0,1,0,2,1,1,0,0,2,0,1,1,4,2,2,3,1,2,1,1,1,0,0,2,0,,,,,,,,,
-17.74866486,87.33151245,-71.55677795,2,1,1,0,2,2,0,0,1,2,0,1,2,1,0,0,1,1,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,0,0,1,1,1,2,0,0,1,0,1,0,,,,,,,,,
-55.75079346,-31.23101807,-184.8399811,2,1,2,1,1,2,0,0,1,3,0,0,3,0,0,0,1,2,0,0,1,1,0,0,2,3,0,0,3,1,0,0,0,0,1,2,2,2,1,1,2,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,3,1,,,,,,,,,
61.63742065,-66.49099731,141.8514404,3,2,2,1,3,2,0,0,0,2,0,0,2,2,0,0,1,2,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,4,1,1,3,1,2,0,2,1,0,0,0,0,1,1,,,,,,,,,
-99.155159,-73.70852661,125.5020142,3,2,3,1,3,3,0,0,1,2,0,0,2,1,1,0,2,1,2,2,1,2,0,0,1,4,0,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,2,0,0,0,0,2,2,3,1,2,1,0,0,,,,,,,,,
-94.49662781,39.65200806,121.9144287,2,1,3,2,1,3,0,0,2,2,0,0,1,1,0,0,1,1,0,1,1,2,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,1,1,1,1,1,1,2,1,0,1,0,1,1,,,,,,,,,
-57.67821121,-95.8015976,-109.7716599,2,1,2,1,1,2,0,0,1,2,0,0,2,1,0,0,1,1,1,0,1,2,0,0,1,3,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,2,1,1,1,1,1,0,0,1,1,3,3,,,,,,,,,
-92.83155823,12.09435272,66.24526978,2,1,2,1,2,2,0,1,1,4,0,1,4,0,1,1,1,2,0,0,1,1,0,0,1,3,0,0,3,1,0,0,0,0,0,1,1,2,0,0,0,1,1,0,4,1,0,1,0,1,1,5,0,0,0,0,4,1,,,,,,,,,
-37.45820618,-46.76793671,146.1627197,2,1,2,1,3,2,0,0,2,2,0,0,3,1,1,0,2,2,1,0,1,2,0,0,1,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,2,4,2,0,3,1,2,1,2,1,0,0,0,0,0,1,,,,,,,,,
-71.13098145,-28.34012604,62.38070679,2,1,2,1,1,3,0,0,1,2,0,0,2,1,0,0,1,1,1,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,,,,,,,,,
12.96533203,-34.77024078,-91.94228363,2,1,1,1,0,3,0,0,1,2,0,0,2,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,3,1,0,1,1,0,0,2,3,0,0,0,0,1,2,0,0,0,0,1,0,,,,,,,,,
77.51036072,68.96858215,132.6899719,1,0,2,2,3,2,1,0,1,1,0,0,3,2,0,0,1,3,0,0,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,2,1,1,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,
-60.42113876,48.0962677,183.8761902,2,2,2,1,1,1,0,0,1,4,0,1,3,2,0,0,3,3,0,1,1,2,0,0,2,3,0,0,3,1,0,1,0,1,1,1,3,3,2,0,2,1,1,0,2,2,0,0,0,1,1,3,0,1,0,0,3,3,,,,,,,,,
96.35601807,-75.063797,-86.12401581,1,1,2,1,1,3,0,0,1,2,0,0,3,1,0,1,2,2,0,0,1,3,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,2,1,1,0,0,1,2,2,1,2,0,2,1,1,2,0,1,0,0,1,0,,,,,,,,,
-97.87779236,-65.0659256,174.5057983,3,2,1,0,4,1,0,0,0,2,0,1,3,1,1,1,1,1,2,2,1,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,2,2,0,0,0,0,3,1,2,3,0,0,0,0,,,,,,,,,
68.54251099,2.620162964,37.33312988,4,1,1,2,0,1,0,0,1,2,0,0,1,1,1,1,2,1,2,1,3,1,0,0,1,1,2,0,2,2,0,0,2,1,0,0,0,3,1,0,0,1,0,0,2,1,1,0,1,2,0,0,0,2,0,0,0,0,,,,,,,,,
93.25354004,-78.04533386,-89.41921997,1,1,3,1,1,2,0,0,1,1,0,0,2,1,0,0,2,1,1,1,1,2,0,0,1,3,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,3,0,0,1,0,,,,,,,,,
-62.45906448,-83.92791748,173.4291687,2,1,3,1,1,2,0,0,1,2,0,1,3,1,0,0,2,2,1,1,1,2,0,0,2,3,0,0,2,1,0,0,0,0,0,0,2,3,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,,,,,,,,,
-29.44683838,-97.80254364,-171.211441,1,0,3,2,2,3,0,0,3,2,0,0,3,1,0,0,1,1,0,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,0,1,0,1,0,1,1,0,1,0,0,1,1,,,,,,,,,
96.48721313,26.01593781,-198.4610596,2,1,1,0,1,2,0,1,1,3,0,1,3,1,0,1,2,1,1,1,1,2,1,0,2,2,0,0,3,2,0,0,0,0,0,0,2,2,0,1,0,1,1,0,2,2,0,1,0,1,1,3,0,1,0,0,1,0,,,,,,,,,
12.16205597,27.35234833,-27.20895386,6,1,1,0,0,2,0,0,0,3,0,0,1,1,1,0,3,1,1,1,0,1,0,0,3,1,0,0,1,2,0,1,1,1,0,0,1,1,1,2,1,1,2,0,4,2,1,1,1,4,1,2,0,0,0,0,0,0,,,,,,,,,
-14.21952057,-91.61025238,112.1409912,2,1,2,0,1,1,0,0,1,2,0,0,2,1,0,1,1,2,0,0,1,2,0,0,1,2,0,0,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,1,0,,,,,,,,,
98.29594421,-32.70539856,-177.309433,2,2,2,1,0,2,0,0,1,3,0,0,2,1,0,0,4,1,1,4,1,2,0,0,1,3,0,0,4,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,2,1,2,2,2,1,1,0,0,2,0,0,0,0,,,,,,,,,
77.22944641,-92.11400604,103.8335266,3,1,1,0,0,2,0,0,0,2,0,0,1,1,0,3,1,1,1,0,1,2,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,4,1,1,2,2,2,1,1,1,0,0,0,0,,,,,,,,,
-86.99953461,-22.61808777,-112.1413803,2,1,2,2,2,4,0,0,3,3,0,0,3,1,0,0,2,3,0,0,1,3,0,0,2,2,0,0,3,1,0,0,0,0,2,4,1,2,3,2,4,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,3,2,,,,,,,,,
99.37748718,91.42384338,103.2063599,2,1,1,1,1,2,0,0,1,2,0,0,1,2,1,2,2,2,1,0,1,2,0,0,1,2,0,0,2,2,0,0,0,0,0,0,1,2,1,0,0,1,0,1,2,3,1,1,0,1,1,3,0,1,0,0,1,0,,,,,,,,,
57.8001709,-42.59140396,-57.9756012,2,1,3,2,2,4,0,0,1,2,0,0,2,1,0,0,1,2,0,3,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,1,,,,,,,,,
-94.38063049,68.98350525,197.6526489,2,2,1,1,0,1,0,0,1,2,0,0,1,3,1,1,4,1,4,2,1,1,0,0,1,2,1,1,2,2,0,0,0,0,0,0,1,2,0,0,0,1,1,2,1,1,3,3,4,3,3,0,4,4,2,2,0,0,,,,,,,,,
30.97627258,91.84434509,76.22000122,3,0,1,0,1,3,0,0,1,2,0,1,2,1,0,2,2,1,1,1,1,3,0,0,2,1,0,0,6,1,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,3,6,3,2,3,2,1,1,0,0,,,,,,,,,
-73.53244019,-83.45910645,-179.8364563,3,1,2,1,1,2,0,0,1,3,0,0,3,0,0,0,2,1,1,1,1,1,0,0,1,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,2,2,2,,,,,,,,,
-98.63084412,-97.46898651,190.0666809,1,1,4,2,3,2,0,0,1,1,0,0,4,1,0,0,1,1,1,1,1,2,1,0,1,3,0,0,2,1,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,2,0,0,0,0,2,2,0,1,0,0,1,0,,,,,,,,,
